names,ratings,classified,school_address,zipcode,types,grades,student_nums,st_ratios,districts
Mount Airy Middle School,9/10,Above average,"102 West Watersville Road, Mount Airy, MD", 21771,Public district,6-8,638,12:1,Carroll County Public Schools
North Carroll Middle School,8/10,Above average,"2401 Hanover Pike, Hampstead, MD", 21074,Public district,6-8,590,11:1,Carroll County Public Schools
Oklahoma Road Middle School,9/10,Above average,"6300 Oklahoma Road, Eldersburg, MD", 21784,Public district,6-8,759,12:1,Carroll County Public Schools
Linton Springs Elementary School,8/10,Above average,"375 Ronsdale Road, Sykesville, MD", 21784,Public district,PK-5,627,9:1,Carroll County Public Schools
Dr. James Craik Elementary School,9/10,Above average,"7725 Marshall Corner Road, Pomfret, MD", 20675,Public district,PK-5,490,15:1,Charles County Public Schools
South Dorchester School,8/10,Above average,"3485 Church Creek Road, Cambridge, MD", 21613,Public district,PK-8,206,12:1,Dorchester County Public Schools
Urbana High School,8/10,Above average,"3471 Campus Drive, Ijamsville, MD", 21754,Public district,9-12,1651,20:1,Frederick County Public Schools
Middletown Middle School,8/10,Above average,"100 Martha Mason Street, Middletown, MD", 21769,Public district,6-8,815,18:1,Frederick County Public Schools
Sabillasville Elementary School,8/10,Above average,"16210 Sabillasville Road, Sabillasville, MD", 21780,Public district,K-5,112,12:1,Frederick County Public Schools
Fountain Green Elementary School,8/10,Above average,"517 South Fountain Green Road, Bel Air, MD", 21015,Public district,K-5,492,15:1,Harford County Public Schools
Bel Air Elementary School,9/10,Above average,"30 East Lee Street, Bel Air, MD", 21014,Public district,PK-5,477,15:1,Harford County Public Schools
Southampton Middle School,8/10,Above average,"1200 Moores Mill Road, Bel Air, MD", 21014,Public district,6-8,1251,15:1,Harford County Public Schools
Hickory Elementary School,8/10,Above average,"2100 Conowingo Road, Bel Air, MD", 21014,Public district,K-5,677,13:1,Harford County Public Schools
Prospect Mill Elementary School,8/10,Above average,"101 Prospect Mill Road, Bel Air, MD", 21015,Public district,PK-5,587,15:1,Harford County Public Schools
Ring Factory Elementary School,9/10,Above average,"1400 Emmorton Road, Bel Air, MD", 21014,Public district,K-5,538,14:1,Harford County Public Schools
Manor Woods Elementary School,9/10,Above average,"11575 Frederick Road, Ellicott City, MD", 21042,Public district,K-5,704,14:1,Howard County Public Schools
Dunloggin Middle School,8/10,Above average,"9129 Northfield Road, Ellicott City, MD", 21042,Public district,6-8,609,11:1,Howard County Public Schools
St. Johns Lane Elementary School,9/10,Above average,"2960 Saint Johns Lane, Ellicott City, MD", 21042,Public district,K-5,729,13:1,Howard County Public Schools
Ellicott Mills Middle School,8/10,Above average,"4445 Montgomery Road, Ellicott City, MD", 21043,Public district,6-8,808,14:1,Howard County Public Schools
Cashell Elementary School,9/10,Above average,"17101 Cashell Road, Rockville, MD", 20853,Public district,PK-5,371,12:1,Montgomery County Public Schools
Luxmanor Elementary School,10/10,Above average,"6201 Tilden Lane, Rockville, MD", 20852,Public district,PK-5,429,13:1,Montgomery County Public Schools
Capitol Heights Elementary School,7/10,Above average,"601 Suffolk Avenue, Capitol Heights, MD", 20743,Public district,PK-5,235,10:1,Prince George's County Public Schools
Martin Luther King Jr. Middle School,7/10,Above average,"4545 Ammendale Road, Beltsville, MD", 20705,Public district,6-8,659,15:1,Prince George's County Public Schools
Bayside Elementary School,8/10,Above average,"301 Church Street, Stevensville, MD", 21666,Public district,3-5,391,15:1,Queen Anne's County Public Schools
Chapel District Elementary School,8/10,Above average,"11430 Cordova Road, Cordova, MD", 21625,Public district,PK-5,372,16:1,Talbot County Public Schools
Paramount Elementary School,8/10,Above average,"19410 Longmeadow Road, Hagerstown, MD", 21742,Public district,K-5,348,15:1,Washington County Public Schools
Fountaindale Elementary School,8/10,Above average,"901 Northern Avenue, Hagerstown, MD", 21742,Public district,K-5,375,12:1,Washington County Public Schools
Greenbrier Elementary School,8/10,Above average,"21222 San Mar Road, Boonsboro, MD", 21713,Public district,K-5,198,14:1,Washington County Public Schools
