names,ratings,classified,school_address,zipcode,types,grades,student_nums,st_ratios,districts
Lois P. Rockwell Elementary School,7/10,Above average,"24555 Cutsail Drive, Damascus, MD", 20872,Public district,PK-5,459,12:1,Montgomery County Public Schools
Argyle Middle School,5/10,Average,"2400 Bel Pre Road, Aspen Hill, MD", 20906,Public district,6-8,912,13:1,Montgomery County Public Schools
Forest Oak Middle School,5/10,Average,"651 Saybrooke Oaks Boulevard, Gaithersburg, MD", 20877,Public district,6-8,804,13:1,Montgomery County Public Schools
Broad Acres Elementary School,5/10,Average,"710 Beacon Road, Silver Spring, MD", 20903,Public district,PK-5,825,11:1,Montgomery County Public Schools
Brookhaven Elementary School,4/10,Below average,"4610 Renn Street, Rockville, MD", 20853,Public district,PK-5,445,10:1,Montgomery County Public Schools
Cannon Road Elementary School,5/10,Average,"901 Cannon Road, Silver Spring, MD", 20904,Public district,PK-5,445,11:1,Montgomery County Public Schools
Col. E. Brooke Lee Middle School,5/10,Average,"11800 Monticello Avenue, Silver Spring, MD", 20902,Public district,6-8,691,12:1,Montgomery County Public Schools
Fields Road Elementary School,7/10,Above average,"1 School Drive, Gaithersburg, MD", 20878,Public district,PK-5,464,12:1,Montgomery County Public Schools
Forest Knolls Elementary School,6/10,Average,"10830 Eastwood Avenue, Silver Spring, MD", 20901,Public district,PK-5,769,12:1,Montgomery County Public Schools
Gaithersburg Middle School,4/10,Below average,"2 Teachers Way, Gaithersburg, MD", 20877,Public district,6-8,752,12:1,Montgomery County Public Schools
Galway Elementary School,5/10,Average,"12612 Galway Drive, Silver Spring, MD", 20904,Public district,PK-5,807,13:1,Montgomery County Public Schools
Germantown Elementary School,6/10,Average,"19110 Liberty Mill Road, Germantown, MD", 20874,Public district,PK-5,318,11:1,Montgomery County Public Schools
Jackson Road Elementary School,4/10,Below average,"900 Jackson Road, Silver Spring, MD", 20904,Public district,PK-5,691,12:1,Montgomery County Public Schools
Kemp Mill Elementary School,4/10,Below average,"411 Sisson Street, Silver Spring, MD", 20902,Public district,PK-5,530,10:1,Montgomery County Public Schools
Laytonsville Elementary School,7/10,Above average,"21401 Laytonsville Road, Gaithersburg, MD", 20882,Public district,K-5,412,14:1,Montgomery County Public Schools
Lucy V. Barnsley Elementary School,8/10,Above average,"14516 Nadine Drive, Rockville, MD", 20853,Public district,PK-5,710,14:1,Montgomery County Public Schools
Mill Creek Towne Elementary School,5/10,Average,"17700 Park Mill Drive, Derwood, MD", 20855,Public district,PK-5,378,11:1,Montgomery County Public Schools
Oakland Terrace Elementary School,6/10,Average,"2720 Plyers Mill Road, Silver Spring, MD", 20902,Public district,PK-5,480,12:1,Montgomery County Public Schools
Redland Middle School,5/10,Average,"6505 Muncaster Mill Road, Derwood, MD", 20855,Public district,6-8,550,12:1,Montgomery County Public Schools
Richard Montgomery High School,6/10,Average,"250 Richard Montgomery Drive, Rockville, MD", 20852,Public district,9-12,2244,17:1,Montgomery County Public Schools
Ridgeview Middle School,7/10,Above average,"16600 Raven Rock Drive, Gaithersburg, MD", 20878,Public district,6-8,746,14:1,Montgomery County Public Schools
Rosemont Elementary School,5/10,Average,"16400 Alden Avenue, Gaithersburg, MD", 20877,Public district,PK-5,588,10:1,Montgomery County Public Schools
Sherwood High School,6/10,Average,"300 Olney Sandy Spring Road, Ashton-Sandy Spring, MD", 20860,Public district,9-12,1890,17:1,Montgomery County Public Schools
Somerset Elementary School,8/10,Above average,"5811 Warwick Place, Chevy Chase, MD", 20815,Public district,K-5,570,15:1,Montgomery County Public Schools
Strathmore Elementary School,5/10,Average,"3200 Beaverwood Lane, Silver Spring, MD", 20906,Public district,3-5,473,14:1,Montgomery County Public Schools
Summit Hall Elementary School,4/10,Below average,"101 West Deer Park Road, Gaithersburg, MD", 20877,Public district,PK-5,675,11:1,Montgomery County Public Schools
Washington Grove Elementary School,5/10,Average,"8712 Oakmont Street, Gaithersburg, MD", 20877,Public district,PK-5,444,9:1,Montgomery County Public Schools
Weller Road Elementary School,5/10,Average,"3301 Weller Road, Silver Spring, MD", 20906,Public district,PK-5,710,12:1,Montgomery County Public Schools
Westland Middle School,8/10,Above average,"5511 Massachusetts Avenue, Bethesda, MD", 20816,Public district,6-8,1260,15:1,Montgomery County Public Schools
White Oak Middle School,5/10,Average,"12201 New Hampshire Avenue, Silver Spring, MD", 20904,Public district,6-8,760,12:1,Montgomery County Public Schools
William Tyler Page Elementary School,6/10,Average,"13400 Tamarack Road, Silver Spring, MD", 20904,Public district,PK-5,421,13:1,Montgomery County Public Schools
William H. Farquhar Middle School,8/10,Above average,"17017 Batchellors Forest Road, Olney, MD", 20832,Public district,6-8,595,14:1,Montgomery County Public Schools
Northwest High School,7/10,Above average,"13501 Richter Farm Road, Germantown, MD", 20874,Public district,9-12,2255,16:1,Montgomery County Public Schools
James Hubert Blake High School,5/10,Average,"300 Norwood Road, Silver Spring, MD", 20905,Public district,9-12,1579,16:1,Montgomery County Public Schools
Martin Luther King Jr. Middle School,5/10,Average,"13737 Wisteria Drive, Germantown, MD", 20874,Public district,6-8,623,13:1,Montgomery County Public Schools
Lake Seneca Elementary School,5/10,Average,"13600 Wanegarden Drive, Germantown, MD", 20874,Public district,PK-5,503,11:1,Montgomery County Public Schools
Damascus High School,7/10,Above average,"25921 Ridge Road, Damascus, MD", 20872,Public district,9-12,1209,15:1,Montgomery County Public Schools
Eastern Middle School,7/10,Above average,"300 University Boulevard East, Silver Spring, MD", 20901,Public district,6-8,905,13:1,Montgomery County Public Schools
Sligo Middle School,5/10,Average,"1401 Dennis Avenue, Silver Spring, MD", 20902,Public district,6-8,625,10:1,Montgomery County Public Schools
Waters Landing Elementary School,5/10,Average,"13100 Waters Landing Drive, Germantown, MD", 20874,Public district,PK-5,706,12:1,Montgomery County Public Schools
Clearspring Elementary School,7/10,Above average,"9930 Moyer Road, Damascus, MD", 20872,Public district,PK-5,624,14:1,Montgomery County Public Schools
Cloverly Elementary School,6/10,Average,"800 Briggs Chaney Road, Silver Spring, MD", 20905,Public district,PK-5,466,12:1,Montgomery County Public Schools
Brooke Grove Elementary School,8/10,Above average,"2700 Spartan Road, Olney, MD", 20832,Public district,PK-5,387,13:1,Montgomery County Public Schools
Burnt Mills Elementary School,5/10,Average,"11211 Childs Street, Silver Spring, MD", 20901,Public district,PK-5,531,13:1,Montgomery County Public Schools
Francis Scott Key Middle School,4/10,Below average,"910 Schindler Drive, Silver Spring, MD", 20903,Public district,6-8,979,14:1,Montgomery County Public Schools
Rachel Carson Elementary School,8/10,Above average,"100 Tschiffely Square Road, Gaithersburg, MD", 20878,Public district,PK-5,1046,17:1,Montgomery County Public Schools
Sequoyah Elementary School,5/10,Average,"17301 Bowie Mill Road, Derwood, MD", 20855,Public district,PK-5,387,11:1,Montgomery County Public Schools
Greenbelt Elementary School,5/10,Average,"66 Ridge Road, Greenbelt, MD", 20770,Public district,PK-5,621,17:1,Prince George's County Public Schools
Scotchtown Hills Elementary School,4/10,Below average,"15950 Dorset Road, Laurel, MD", 20707,Public district,PK-6,695,17:1,Prince George's County Public Schools
Perrywood Elementary School,5/10,Average,"501 Watkins Park Drive, Kettering, MD", 20774,Public district,K-5,675,18:1,Prince George's County Public Schools
Avalon Elementary School,5/10,Average,"7302 Webster Lane, Fort Washington, MD", 20744,Public district,PK-6,414,13:1,Prince George's County Public Schools
Bladensburg High School,3/10,Below average,"4200 57th Avenue, Bladensburg, MD", 20710,Public district,9-12,1810,16:1,Prince George's County Public Schools
Bowie High School,4/10,Below average,"15200 Annapolis Road, Bowie, MD", 20715,Public district,9-12,2381,18:1,Prince George's County Public Schools
Brandywine Elementary School,4/10,Below average,"14101 Brandywine Road, Brandywine, MD", 20613,Public district,PK-5,424,19:1,Prince George's County Public Schools
Buck Lodge Middle School,4/10,Below average,"2611 Buck Lodge Road, Adelphi, MD", 20783,Public district,6-8,1185,13:1,Prince George's County Public Schools
Calverton Elementary School,4/10,Below average,"3400 Beltsville Road, Beltsville, MD", 20705,Public district,PK-5,874,17:1,Prince George's County Public Schools
Carole Highlands Elementary School,4/10,Below average,"1610 Hannon Street, Takoma Park, MD", 20912,Public district,PK-6,452,15:1,Prince George's County Public Schools
Cherokee Lane Elementary School,4/10,Below average,"9000 25th Avenue, Adelphi, MD", 20783,Public district,K-6,512,14:1,Prince George's County Public Schools
Francis T. Evans Elementary School,4/10,Below average,"6720 Old Alexandria Ferry Road, Clinton, MD", 20735,Public district,PK-5,355,19:1,Prince George's County Public Schools
Frederick Douglass High School,4/10,Below average,"8000 Croom Rd, Upper Marlboro, MD", 20772,Public district,9-12,934,15:1,Prince George's County Public Schools
Fort Washington Forest Elementary School,5/10,Average,"1300 Fillmore Road, Fort Washington, MD", 20744,Public district,PK-5,262,14:1,Prince George's County Public Schools
Gwynn Park Middle School,4/10,Below average,"8000 Dyson Road, Brandywine, MD", 20613,Public district,6-8,615,13:1,Prince George's County Public Schools
Hollywood Elementary School,5/10,Average,"9811 49th Avenue, College Park, MD", 20740,Public district,PK-5,394,14:1,Prince George's County Public Schools
Hyattsville Middle School,4/10,Below average,"6001 42nd Avenue, Hyattsville, MD", 20781,Public district,6-8,842,13:1,Prince George's County Public Schools
Indian Queen Elementary School,5/10,Average,"9551 Fort Foote Road, Fort Washington, MD", 20744,Public district,PK-6,268,12:1,Prince George's County Public Schools
Laurel Elementary School,4/10,Below average,"516 Montgomery Street, Laurel, MD", 20707,Public district,PK-5,559,16:1,Prince George's County Public Schools
Lewisdale Elementary School,4/10,Below average,"2400 Banning Place, Hyattsville, MD", 20783,Public district,PK-5,702,14:1,Prince George's County Public Schools
Magnolia Elementary School,4/10,Below average,"8400 Nightingale Drive, Lanham, MD", 20706,Public district,PK-6,484,17:1,Prince George's County Public Schools
Montpelier Elementary School,5/10,Average,"9200 Muirkirk Road, Laurel, MD", 20708,Public district,PK-5,586,19:1,Prince George's County Public Schools
Northwestern High School,3/10,Below average,"7000 Adelphi Road, Hyattsville, MD", 20782,Public district,9-12,2228,14:1,Prince George's County Public Schools
Oxon Hill High School,5/10,Average,"6701 Leyte Drive, Oxon Hill, MD", 20745,Public district,9-12,1448,17:1,Prince George's County Public Schools
Rockledge Elementary School,4/10,Below average,"7701 Laurel Bowie Road, Bowie, MD", 20715,Public district,PK-5,393,15:1,Prince George's County Public Schools
Samuel Chase Elementary School,5/10,Average,"5700 Fisher Road, Temple Hills, MD", 20748,Public district,PK-5,283,16:1,Prince George's County Public Schools
Seabrook Elementary School,5/10,Average,"6001 Seabrook Road, Lanham, MD", 20706,Public district,PK-5,325,14:1,Prince George's County Public Schools
Thomas Johnson Middle School,4/10,Below average,"5401 Barker Place, Lanham, MD", 20706,Public district,6-8,1071,14:1,Prince George's County Public Schools
University Park Elementary School,5/10,Average,"4315 Underwood Street, University Park, MD", 20782,Public district,PK-6,569,18:1,Prince George's County Public Schools
Valley View Elementary School,5/10,Average,"5500 Danby Avenue, Oxon Hill, MD", 20745,Public district,PK-6,510,17:1,Prince George's County Public Schools
Oxon Hill Middle School,3/10,Below average,"9570 Fort Foote Road, Fort Washington, MD", 20744,Public district,7-8,564,11:1,Prince George's County Public Schools
Glenridge Elementary School,4/10,Below average,"7200 Gallatin Street, Woodlawn, MD", 20737,Public district,PK-6,839,16:1,Prince George's County Public Schools
Gladys Noon Spellman Elementary School,4/10,Below average,"3324 64th Avenue, Cheverly, MD", 20785,Public district,PK-6,528,13:1,Prince George's County Public Schools
Washington Academy And High School,4/10,Below average,"10902 Old Princess Anne Road, Princess Anne, MD", 21853,Public district,8-12,592,16:1,Somerset County Public Schools
Green Holly Elementary School,5/10,Average,"46060 Millstone Landing Road, Lexington Park, MD", 20653,Public district,PK-5,596,12:1,St. Mary's County Public Schools
Great Mills High School,6/10,Average,"21130 Great Mills Road, Great Mills, MD", 20634,Public district,9-12,1535,17:1,St. Mary's County Public Schools
Greenview Knolls Elementary School,5/10,Average,"45711 Military Lane, Great Mills, MD", 20634,Public district,PK-5,423,17:1,St. Mary's County Public Schools
Hollywood Elementary School,6/10,Average,"44345 Joy Chapel Road, Hollywood, MD", 20636,Public district,PK-5,495,19:1,St. Mary's County Public Schools
Oakville Elementary School,5/10,Average,"26410 Three Notch Road, Mechanicsville, MD", 20659,Public district,PK-5,289,18:1,St. Mary's County Public Schools
Town Creek Elementary School,6/10,Average,"45805 Dent Drive, Lexington Park, MD", 20653,Public district,K-5,230,15:1,St. Mary's County Public Schools
Leonardtown High School,8/10,Above average,"23995 Point Lookout Road, Leonardtown, MD", 20650,Public district,9-12,1769,20:1,St. Mary's County Public Schools
Easton Elementary School,5/10,Average,"307 Glenwood Ave, Easton, MD", 21601,Public district,PK-5,1115,14:1,Talbot County Public Schools
Clear Spring Elementary School,5/10,Average,"12627 Broadfording Road, Clear Spring, MD", 21722,Public district,PK-5,391,14:1,Washington County Public Schools
E. Russell Hicks Middle School,5/10,Average,"1321 South Potomac Street, Hagerstown, MD", 21740,Public district,6-8,799,13:1,Washington County Public Schools
Fountain Rock Elementary School,5/10,Average,"17145 Lappans Road, Hagerstown, MD", 21740,Public district,K-5,181,14:1,Washington County Public Schools
Pleasant Valley Elementary School,5/10,Average,"1707 Rohrersville Road, Knoxville, MD", 21758,Public district,K-5,218,13:1,Washington County Public Schools
Potomac Heights Elementary School,6/10,Average,"301 East Magnolia Avenue, Hagerstown, MD", 21742,Public district,PK-5,197,12:1,Washington County Public Schools
Salem Avenue Elementary School,5/10,Average,"1323 Salem Avenue, Hagerstown, MD", 21740,Public district,PK-5,702,14:1,Washington County Public Schools
South Hagerstown High School,4/10,Below average,"1101 South Potomac Street, Hagerstown, MD", 21740,Public district,9-12,1258,15:1,Washington County Public Schools
Springfield Middle School,5/10,Average,"334 East Sunset Avenue, Williamsport, MD", 21795,Public district,6-8,842,16:1,Washington County Public Schools
Western Heights Middle School,5/10,Average,"1300 Marshall Street, Hagerstown, MD", 21740,Public district,6-8,740,15:1,Washington County Public Schools
Williamsport High School,5/10,Average,"5 South Clifton Drive, Williamsport, MD", 21795,Public district,9-12,891,16:1,Washington County Public Schools
James M. Bennett High School,4/10,Below average,"300 East College Avenue, Salisbury, MD", 21804,Public district,8-12,1477,13:1,Wicomico County Public Schools
Pemberton Elementary School,5/10,Average,"1300 Pemberton Drive, Salisbury, MD", 21801,Public district,PK-5,565,16:1,Wicomico County Public Schools
Wicomico Middle School,4/10,Below average,"635 East Main Street, Salisbury, MD", 21804,Public district,6-8,700,10:1,Wicomico County Public Schools
Willards Elementary School,5/10,Average,"36161 Richland Road, Willards, MD", 21874,Public district,PK-3,390,14:1,Wicomico County Public Schools
Dowell Elementary School,6/10,Average,"12680 H G Trueman Road, Lusby, MD", 20657,Public district,PK-5,651,17:1,Calvert County Public Schools
Cranberry Station Elementary School,5/10,Average,"505 North Center Street, Westminster, MD", 21157,Public district,PK-5,502,10:1,Carroll County Public Schools
Shady Grove Middle School,6/10,Average,"8100 Midcounty Highway, Gaithersburg, MD", 20877,Public district,6-8,565,13:1,Montgomery County Public Schools
Silver Spring International Middle School,6/10,Average,"313 Wayne Avenue, Silver Spring, MD", 20910,Public district,6-8,1042,13:1,Montgomery County Public Schools
Highland Park Elementary School,5/10,Average,"6501 Lowland Drive, Hyattsville, MD", 20785,Public district,PK-6,418,15:1,Prince George's County Public Schools
Salisbury Middle School,6/10,Average,"607 Morris Street, Salisbury, MD", 21801,Public district,6-8,795,11:1,Wicomico County Public Schools
New Town Elementary School,5/10,Average,"4924 New Town Boulevard, Owings Mills, MD", 21117,Public district,K-5,837,18:1,Baltimore County Public Schools
Dogwood Elementary School,4/10,Below average,"7215 Dogwood Road, Woodlawn, MD", 21244,Public district,PK-5,659,17:1,Baltimore County Public Schools
Mill Creek Middle School,6/10,Average,"12200 Southern Connector Boulevard, Lusby, MD", 20657,Public district,6-8,513,15:1,Calvert County Public Schools
Bonnie Branch Middle School,6/10,Average,"4979 Ilchester Road, Ellicott City, MD", 21043,Public district,6-8,684,14:1,Howard County Public Schools
Winters Mill High School,7/10,Above average,"560 Gorsuch Road, Westminster, MD", 21157,Public district,9-12,1084,12:1,Carroll County Public Schools
Reservoir High School,7/10,Above average,"11550 Scaggsville Road, Fulton, MD", 20759,Public district,9-12,1508,13:1,Howard County Public Schools
Newport Mill Middle School,5/10,Average,"11311 Newport Mill Road, Silver Spring, MD", 20902,Public district,6-8,587,12:1,Montgomery County Public Schools
Ernest Everett Just Middle School,5/10,Average,"1300 Campus Way North, Bowie, MD", 20721,Public district,6-8,621,13:1,Prince George's County Public Schools
Monarch Global Academy PCS Laurel Campus,6/10,Average,"430 Brock Bridge Road, Laurel, MD", 20724,Public district,K-7,701,15:1,Anne Arundel County Public Schools
Wilson Wims Elementary School,7/10,Above average,"12520 Blue Sky Drive, Clarksburg, MD", 20871,Public district,PK-5,,18:1,Montgomery County Public Schools
Gov. Thomas Johnson Middle School,6/10,Average,"1799 Schifferstadt Boulevard, Frederick, MD", 21701,Public district,6-8,523,14:1,Frederick County Public Schools
Tuscarora High School,6/10,Average,"5312 Ballenger Creek Pike, Frederick, MD", 21703,Public district,9-12,1453,19:1,Frederick County Public Schools
Barack Obama Elementary School,5/10,Average,"12700 Brooke Lane, Upper Marlboro, MD", 20772,Public district,PK-5,637,19:1,Prince George's County Public Schools
Crestwood Middle School,6/10,Average,"7100 Foxcroft Drive, Frederick, MD", 21703,Public district,6-8,507,17:1,Frederick County Public Schools
Somerset 6/7 Intermediate School,6/10,Average,"7970 Tawes Campus Drive, Westover, MD", 21871,Public district,6-7,433,13:1,Somerset County Public Schools
Walkersville Elementary School,6/10,Average,"83 West Frederick Street, Walkersville, MD", 21793,Public district,K-5,686,17:1,Frederick County Public Schools
William A. Diggs Elementary School,5/10,Average,"2615 Davis Road, Waldorf, MD", 20603,Public district,PK-5,781,17:1,Charles County Public Schools
Excel Academy Public Charter,4/10,Below average,"7910 Scott Road, Hyattsville, MD", 20785,Public charter,K-8,420,14:1,Prince George's County Public Schools
Windsor Mill Middle School,3/10,Below average,"8300 Windsor Mill Road, Baltimore, MD", 21244,Public district,6-8,519,13:1,Baltimore County Public Schools
Clarksburg High School,5/10,Average,"22500 Wims Road, Clarksburg, MD", 20871,Public district,9-12,2200,16:1,Montgomery County Public Schools
Sargent Shriver Elementary School,4/10,Below average,"12518 Greenly Street, Silver Spring, MD", 20906,Public district,PK-5,756,12:1,Montgomery County Public Schools
Carter G Woodson Elementary School,3/10,Below average,"281 Woodson School Road, Crisfield, MD", 21817,Public district,PK-5,539,15:1,Somerset County Public Schools
Rosa L. Parks Elementary School,3/10,Below average,"6111 Ager Road, Hyattsville, MD", 20782,Public district,PK-6,703,15:1,Prince George's County Public Schools
Northview Elementary School,4/10,Below average,"3700 Northview Drive, Bowie, MD", 20716,Public district,PK-5,718,15:1,Prince George's County Public Schools
Mountain Ridge High School,6/10,Average,"100 Doctor Gasmick Lane, Frostburg, MD", 21532,Public district,9-12,825,17:1,Allegany County Public Schools
Mary B. Neal Elementary School,4/10,Below average,"12105 Saint Georges Drive, Waldorf, MD", 20602,Public district,PK-5,748,15:1,Charles County Public Schools
The Seed School Of Maryland,3/10,Below average,"200 Font Hill Avenue, Baltimore, MD", 21223,Public district,6-12,405,8:1,Seed School Of Maryland
Green Street Academy,3/10,Below average,"125 North Hilton Street, Baltimore, MD", 21229,Public charter,6-12,609,16:1,Baltimore City Public Schools
Baltimore Leadership School For Young Women,4/10,Below average,"128 West Franklin Street, Baltimore, MD", 21201,Public charter,6-12,539,15:1,Baltimore City Public Schools
Imagine Foundations Ii Public Charter,3/10,Below average,"6900 Ames Street, Morningside, MD", 20746,Public charter,K-7,467,15:1,Prince George's County Public Schools
Lake Elkhorn Middle School,5/10,Average,"6680 Cradlerock Way, Columbia, MD", 21045,Public district,6-8,490,9:1,Howard County Public Schools
Thomas Viaduct Middle School,5/10,Average,"7000 Banbury Drive, Hanover, MD", 21076,Public district,6-8,601,12:1,Howard County Public Schools
St Charles High School,3/10,Below average,"5305 Piney Church Rd, Waldorf, MD", 20602,Public district,9-12,1245,15:1,Charles County Public Schools
Allegany High School,5/10,Average,"616 Sedgwick Street, Cumberland, MD", 21502,Public district,9-12,667,16:1,Allegany County Public Schools
George's Creek Elementary School,4/10,Below average,"15600 Lower Georges Creek Road Southwest, Lonaconing, MD", 21539,Public district,PK-5,307,22:1,Allegany County Public Schools
Center For Career & Technology Education,6/10,Average,"14211 McMullen Highway Southwest, Cumberland, MD", 21502,Public district,11-12,287,10:1,Allegany County Public Schools
Annapolis Elementary School,5/10,Average,"180 Green Street, Annapolis, MD", 21401,Public district,PK-5,269,9:1,Anne Arundel County Public Schools
Annapolis High School,4/10,Below average,"2700 Riva Road, Annapolis, MD", 21401,Public district,9-12,2100,13:1,Anne Arundel County Public Schools
Wiley H. Bates Middle School,6/10,Average,"701 Chase Street, Annapolis, MD", 21401,Public district,6-8,878,10:1,Anne Arundel County Public Schools
Brooklyn Park Elementary School,5/10,Average,"200 14th Avenue, Baltimore, MD", 21225,Public district,PK-5,405,11:1,Anne Arundel County Public Schools
Georgetown East Elementary School,3/10,Below average,"111 Dogwood Road, Annapolis, MD", 21403,Public district,PK-5,386,9:1,Anne Arundel County Public Schools
Glen Burnie High School,3/10,Below average,"7550 Baltimore Annapolis Boulevard, Glen Burnie, MD", 21060,Public district,9-12,1894,14:1,Anne Arundel County Public Schools
Hebron - Harman Elementary School,4/10,Below average,"7660 Ridge Chapel Road, Hanover, MD", 21076,Public district,PK-5,794,16:1,Anne Arundel County Public Schools
Hillsmere Elementary School,6/10,Average,"3052 Arundel on the Bay Road, Annapolis, MD", 21403,Public district,PK-5,531,17:1,Anne Arundel County Public Schools
Hilltop Elementary School,4/10,Below average,"415 Melrose Avenue, Glen Burnie, MD", 21061,Public district,PK-5,699,11:1,Anne Arundel County Public Schools
Meade High School,4/10,Below average,"1100 Clark Road, Fort Meade, MD", 20755,Public district,9-12,2055,14:1,Anne Arundel County Public Schools
Oak Hill Elementary School,7/10,Above average,"34 Truck House Road, Severna Park, MD", 21146,Public district,PK-5,674,16:1,Anne Arundel County Public Schools
Old Mill High School,6/10,Average,"600 Patriot Lane, Millersville, MD", 21108,Public district,9-12,2126,16:1,Anne Arundel County Public Schools
Point Pleasant Elementary School,4/10,Below average,"1035 Dumbarton Road, Glen Burnie, MD", 21060,Public district,PK-5,548,14:1,Anne Arundel County Public Schools
Rippling Woods Elementary School,3/10,Below average,"530 Nolfield Drive, Glen Burnie, MD", 21061,Public district,PK-5,670,15:1,Anne Arundel County Public Schools
Southgate Elementary School,4/10,Below average,"290 Shetlands Lane, Glen Burnie, MD", 21061,Public district,PK-5,743,17:1,Anne Arundel County Public Schools
Freetown Elementary School,5/10,Average,"7904 Freetown Road, Glen Burnie, MD", 21060,Public district,PK-5,490,13:1,Anne Arundel County Public Schools
Charles Carroll Barrister Elementary School,3/10,Below average,"1327 Washington Boulevard, Baltimore, MD", 21230,Public district,PK-5,353,17:1,Baltimore City Public Schools
Mary Ann Winterling Elementary School,3/10,Below average,"220 North Bentalou Street, Baltimore, MD", 21223,Public district,PK-5,321,17:1,Baltimore City Public Schools
Cecil Elementary School,4/10,Below average,"2000 Cecil Avenue, Baltimore, MD", 21218,Public district,PK-5,340,16:1,Baltimore City Public Schools
Cross Country Elementary School,4/10,Below average,"6100 Cross Country Boulevard, Baltimore, MD", 21215,Public district,PK-8,749,19:1,Baltimore City Public Schools
Dickey Hill Elementary/Middle School,3/10,Below average,"5025 Dickey Hill Road, Baltimore, MD", 21207,Public district,PK-8,347,16:1,Baltimore City Public Schools
Federal Hill Preparatory School,4/10,Below average,"1040 William Street, Baltimore, MD", 21230,Public district,PK-5,314,19:1,Baltimore City Public Schools
Grove Park Elementary School,3/10,Below average,"5545 Kennison Avenue, Baltimore, MD", 21215,Public district,PK-8,281,18:1,Baltimore City Public Schools
KIPP Harmony,4/10,Below average,"4701 Greenspring Avenue, Baltimore, MD", 21209,Public charter,K-8,1516,14:1,Baltimore City Public Schools
Lakeland Elementary/Middle School,3/10,Below average,"2921 Stranden Road, Baltimore, MD", 21230,Public district,PK-8,826,16:1,Baltimore City Public Schools
Medfield Heights Elementary School,4/10,Below average,"4300 Buchanan Avenue, Baltimore, MD", 21211,Public district,PK-5,389,17:1,Baltimore City Public Schools
Morrell Park Elementary/Middle School,3/10,Below average,"2601 Tolley Street, Baltimore, MD", 21230,Public district,PK-8,431,18:1,Baltimore City Public Schools
Mount Royal Elementary/Middle School,3/10,Below average,"121 Mc Mechen St, Baltimore, MD", 21217,Public district,PK-8,799,21:1,Baltimore City Public Schools
Northwood Elementary School,4/10,Below average,"5201 Loch Raven Boulevard, Baltimore, MD", 21239,Public district,PK-5,671,20:1,Baltimore City Public Schools
Stadium School,3/10,Below average,"1300 Gorsuch Ave, Baltimore, MD", 21218,Public district,6-8,244,18:1,Baltimore City Public Schools
Midtown Academy,4/10,Below average,"1398 Mt Royal Ave, Baltimore, MD", 21217,Public charter,K-8,198,15:1,Baltimore City Public Schools
Battle Grove Elementary School,4/10,Below average,"7828 Saint Patricia Lane, Baltimore, MD", 21222,Public district,PK-5,336,14:1,Baltimore County Public Schools
Catonsville High School,6/10,Average,"421 Bloomsbury Avenue, Catonsville, MD", 21228,Public district,9-12,1737,17:1,Baltimore County Public Schools
Cedarmere Elementary School,4/10,Below average,"17 Nicodemus Road, Reisterstown, MD", 21136,Public district,PK-5,526,17:1,Baltimore County Public Schools
Deep Creek Middle School,3/10,Below average,"1000 South Marlyn Avenue, Essex, MD", 21221,Public district,6-8,836,14:1,Baltimore County Public Schools
Deer Park Elementary School,4/10,Below average,"9809 Lyons Mill Road, Owings Mills, MD", 21117,Public district,PK-5,467,17:1,Baltimore County Public Schools
Dulaney High School,6/10,Average,"255 West Padonia Road, Lutherville-Timonium, MD", 21093,Public district,9-12,1851,18:1,Baltimore County Public Schools
Dumbarton Middle School,6/10,Average,"300 Dumbarton Road, Baltimore, MD", 21212,Public district,6-8,1096,16:1,Baltimore County Public Schools
Grange Elementary School,3/10,Below average,"2000 Church Road, Dundalk, MD", 21222,Public district,PK-5,479,17:1,Baltimore County Public Schools
Hebbville Elementary School,4/10,Below average,"3335 Washington Avenue, Milford Mill, MD", 21244,Public district,PK-5,448,17:1,Baltimore County Public Schools
Hernwood Elementary School,4/10,Below average,"9919 Marriottsville Road, Woodstock, MD", 21163,Public district,PK-5,456,15:1,Baltimore County Public Schools
Halstead Academy,3/10,Below average,"1111 Halstead Road, Baltimore, MD", 21234,Public district,PK-5,534,16:1,Baltimore County Public Schools
Holabird Middle School,3/10,Below average,"1701 Delvale Avenue, Dundalk, MD", 21222,Public district,4-8,900,14:1,Baltimore County Public Schools
Johnnycake Elementary School,3/10,Below average,"5910 Craigmont Road, Baltimore, MD", 21228,Public district,PK-5,693,17:1,Baltimore County Public Schools
Lansdowne Elementary School,4/10,Below average,"2301 Alma Road, Lansdowne, MD", 21227,Public district,PK-5,494,16:1,Baltimore County Public Schools
Logan Elementary School,3/10,Below average,"7601 Dunmanway, Dundalk, MD", 21222,Public district,PK-5,585,17:1,Baltimore County Public Schools
Mars Estates Elementary School,4/10,Below average,"1500 East Homberg Avenue, Baltimore, MD", 21221,Public district,PK-5,418,15:1,Baltimore County Public Schools
Martin Boulevard Elementary School,4/10,Below average,"210 Riverton Road, Baltimore, MD", 21220,Public district,PK-5,330,16:1,Baltimore County Public Schools
Oakleigh Elementary School,4/10,Below average,"1900 White Oak Avenue, Parkville, MD", 21234,Public district,PK-5,646,17:1,Baltimore County Public Schools
Perry Hall High School,6/10,Average,"4601 Ebenezer Road, Baltimore, MD", 21236,Public district,9-12,2006,17:1,Baltimore County Public Schools
