names, test_score_rating, academic_progress_rating,    college_readiness_rating, equity_overall_rating
Prospect Mill Elementary School,9/10,6/10,,7/10
Ring Factory Elementary School,10/10,8/10,,7/10
Manor Woods Elementary School,10/10,8/10,,7/10
Dunloggin Middle School,9/10,,,7/10
St. Johns Lane Elementary School,9/10,6/10,,9/10
Ellicott Mills Middle School,9/10,8/10,,7/10
Cashell Elementary School,9/10,,,9/10
Luxmanor Elementary School,10/10,9/10,,9/10
Capitol Heights Elementary School,7/10,7/10,,7/10
Martin Luther King Jr. Middle School,7/10,7/10,,7/10
Bayside Elementary School,8/10,7/10,,7/10
Chapel District Elementary School,8/10,,,7/10
Paramount Elementary School,8/10,7/10,,8/10
Fountaindale Elementary School,9/10,8/10,,5/10
Greenbrier Elementary School,9/10,9/10,,7/10
Smithsburg Middle School,8/10,7/10,,8/10
Mardela Middle & High School,8/10,7/10,7/10,8/10
Buckingham Elementary School,9/10,,,6/10
Piney Orchard Elementary School,9/10,9/10,,8/10
Oakdale Elementary School,9/10,,,7/10
Robert Goddard Montessori,9/10,,,8/10
Mt. Savage Elementary School,7/10,,,7/10
Huntingtown High School,8/10,,9/10,8/10
Centerville Elementary,10/10,7/10,,9/10
Little Bennett Elementary School,9/10,8/10,,7/10
Ebb Valley Elementary School,8/10,8/10,,7/10
Chesapeake Math and IT Academy,8/10,8/10,,9/10
College Park Academy,7/10,,,8/10
Beall Elementary School,8/10,8/10,,6/10
Flintstone Elementary School,7/10,8/10,,6/10
Washington Middle School,7/10,7/10,,7/10
Cash Valley Elementary School,7/10,8/10,,6/10
Central Middle School,9/10,,,8/10
Chesapeake High School,7/10,,6/10,6/10
Lake Shore Elementary School,8/10,7/10,,6/10
Magothy River Middle School,8/10,7/10,,7/10
Maryland City Elementary School,6/10,6/10,,6/10
Mayo Elementary School,9/10,6/10,,6/10
Oakwood Elementary School,7/10,6/10,,5/10
Ridgeway Elementary School,7/10,6/10,,7/10
Riviera Beach Elementary School,7/10,,,6/10
Severn River Middle School,9/10,7/10,,5/10
Severna Park Middle School,10/10,8/10,,
Shady Side Elementary School,8/10,5/10,,6/10
Southern Middle School,8/10,5/10,,7/10
