names, ratings, addresses, classes, types, grades, student_nums, st_ratios, districts, 
Pine Grove Elementary School,8/10,2701 Summit Avenue, Parkville, MD, 21234,Above average,Public district,PK-5,528,18:1,Baltimore County Public Schools
Mount Airy Middle School,9/10,102 West Watersville Road, Mount Airy, MD, 21771,Above average,Public district,6-8,638,12:1,Carroll County Public Schools
North Carroll Middle School,8/10,2401 Hanover Pike, Hampstead, MD, 21074,Above average,Public district,6-8,590,11:1,Carroll County Public Schools
Oklahoma Road Middle School,9/10,6300 Oklahoma Road, Eldersburg, MD, 21784,Above average,Public district,6-8,759,12:1,Carroll County Public Schools
Linton Springs Elementary School,8/10,375 Ronsdale Road, Sykesville, MD, 21784,Above average,Public district,PK-5,627,9:1,Carroll County Public Schools
Dr. James Craik Elementary School,9/10,7725 Marshall Corner Road, Pomfret, MD, 20675,Above average,Public district,PK-5,490,15:1,Charles County Public Schools
South Dorchester School,8/10,3485 Church Creek Road, Cambridge, MD, 21613,Above average,Public district,PK-8,206,12:1,Dorchester County Public Schools
Urbana High School,8/10,3471 Campus Drive, Ijamsville, MD, 21754,Above average,Public district,9-12,1651,20:1,Frederick County Public Schools
Middletown Middle School,8/10,100 Martha Mason Street, Middletown, MD, 21769,Above average,Public district,6-8,815,18:1,Frederick County Public Schools
Sabillasville Elementary School,8/10,16210 Sabillasville Road, Sabillasville, MD, 21780,Above average,Public district,K-5,112,12:1,Frederick County Public Schools
Fountain Green Elementary School,8/10,517 South Fountain Green Road, Bel Air, MD, 21015,Above average,Public district,K-5,492,15:1,Harford County Public Schools
Bel Air Elementary School,9/10,30 East Lee Street, Bel Air, MD, 21014,Above average,Public district,PK-5,477,15:1,Harford County Public Schools
Southampton Middle School,8/10,1200 Moores Mill Road, Bel Air, MD, 21014,Above average,Public district,6-8,1251,15:1,Harford County Public Schools
Hickory Elementary School,8/10,2100 Conowingo Road, Bel Air, MD, 21014,Above average,Public district,K-5,677,13:1,Harford County Public Schools
Prospect Mill Elementary School,8/10,101 Prospect Mill Road, Bel Air, MD, 21015,Above average,Public district,PK-5,587,15:1,Harford County Public Schools
Ring Factory Elementary School,9/10,1400 Emmorton Road, Bel Air, MD, 21014,Above average,Public district,K-5,538,14:1,Harford County Public Schools
Manor Woods Elementary School,9/10,11575 Frederick Road, Ellicott City, MD, 21042,Above average,Public district,K-5,704,14:1,Howard County Public Schools
Dunloggin Middle School,8/10,9129 Northfield Road, Ellicott City, MD, 21042,Above average,Public district,6-8,609,11:1,Howard County Public Schools
St. Johns Lane Elementary School,9/10,2960 Saint Johns Lane, Ellicott City, MD, 21042,Above average,Public district,K-5,729,13:1,Howard County Public Schools
Ellicott Mills Middle School,8/10,4445 Montgomery Road, Ellicott City, MD, 21043,Above average,Public district,6-8,808,14:1,Howard County Public Schools
Cashell Elementary School,9/10,17101 Cashell Road, Rockville, MD, 20853,Above average,Public district,PK-5,371,12:1,Montgomery County Public Schools
Luxmanor Elementary School,10/10,6201 Tilden Lane, Rockville, MD, 20852,Above average,Public district,PK-5,429,13:1,Montgomery County Public Schools
Capitol Heights Elementary School,7/10,601 Suffolk Avenue, Capitol Heights, MD, 20743,Above average,Public district,PK-5,235,10:1,Prince George's County Public Schools
Martin Luther King Jr. Middle School,7/10,4545 Ammendale Road, Beltsville, MD, 20705,Above average,Public district,6-8,659,15:1,Prince George's County Public Schools
